product_id,product_taxonomies,current_discount_pct,recommended_discount_pct,expected_revenue_change_pct,expected_profit_change_pct,action,elasticity_type
P041,fresh_food,20.2,0,25.3,110.0,Reduce Discount,inelastic
P062,dry_food,20.7,0,26.1,90.0,Reduce Discount,inelastic
P045,fresh_food,18.9,0,23.2,68.0,Reduce Discount,inelastic
P042,fresh_food,18.0,0,22.0,56.9,Reduce Discount,inelastic
P063,dry_food,11.0,0,12.3,39.0,Reduce Discount,inelastic
P044,fresh_food,13.4,0,15.5,38.0,Reduce Discount,inelastic
P036,snack,14.6,0,17.1,37.5,Reduce Discount,inelastic
P004,unknown,0.0,27,50.3,36.4,Increase Discount,elastic
P027,snack,15.9,0,19.0,36.3,Reduce Discount,inelastic
P069,household,10.2,0,11.3,31.9,Reduce Discount,inelastic
P077,household,8.5,0,9.3,31.8,Reduce Discount,inelastic
P059,dry_food,10.7,0,12.0,31.0,Reduce Discount,inelastic
P010,commodity,0.0,23,45.5,27.8,Increase Discount,elastic
P052,fresh_food,7.4,0,8.0,25.2,Reduce Discount,inelastic
P035,snack,9.9,0,11.0,24.7,Reduce Discount,inelastic
P073,household,7.0,0,7.5,24.1,Reduce Discount,inelastic
P011,commodity,0.0,23,34.2,22.2,Increase Discount,elastic
P068,household,7.0,0,7.6,21.6,Reduce Discount,inelastic
P028,beverage,10.7,0,12.0,20.0,Reduce Discount,inelastic
P037,snack,11.3,0,12.8,19.1,Reduce Discount,inelastic
P002,commodity,0.0,22,29.1,18.9,Increase Discount,elastic
P005,unknown,0.6,22,31.6,18.6,Increase Discount,elastic
P057,dry_food,6.4,0,6.9,17.6,Reduce Discount,inelastic
P034,snack,9.5,0,10.5,17.5,Reduce Discount,inelastic
P070,household,6.9,0,7.4,17.4,Reduce Discount,inelastic
P032,snack,7.7,0,8.3,17.4,Reduce Discount,inelastic
P065,dry_food,6.2,0,6.6,16.0,Reduce Discount,inelastic
P056,dry_food,6.9,0,7.4,14.8,Reduce Discount,inelastic
P049,fresh_food,6.3,0,6.8,12.7,Reduce Discount,inelastic
P019,beverage,7.8,0,8.5,12.6,Reduce Discount,inelastic
P006,commodity,0.0,18,20.7,11.8,Increase Discount,elastic
P075,household,3.7,0,3.9,11.3,Reduce Discount,inelastic
P060,dry_food,4.1,0,4.2,10.9,Reduce Discount,inelastic
P039,snack,6.5,0,7.0,9.9,Reduce Discount,elastic
P018,beverage,4.7,0,5.0,9.3,Reduce Discount,inelastic
P012,beverage,7.4,0,8.0,8.7,Reduce Discount,inelastic
P015,beverage,4.3,0,4.5,8.4,Reduce Discount,inelastic
P014,beverage,6.3,0,6.8,8.3,Reduce Discount,inelastic
P055,unknown,3.6,0,3.7,7.5,Reduce Discount,inelastic
P020,beverage,4.7,0,5.0,6.7,Reduce Discount,inelastic
P053,dry_food,2.9,0,3.0,6.2,Reduce Discount,inelastic
P025,beverage,3.4,0,3.5,5.7,Reduce Discount,inelastic
P007,commodity,5.6,0,5.9,5.6,Reduce Discount,inelastic
P031,snack,4.1,0,4.3,5.4,Reduce Discount,elastic
P040,fresh_food,2.2,0,2.3,4.4,Reduce Discount,inelastic
P066,dry_food,2.0,0,2.0,4.2,Stop Promotion,inelastic
P061,dry_food,1.8,0,1.9,3.2,Stop Promotion,inelastic
P033,snack,4.8,0,5.0,3.2,Reduce Discount,elastic
P009,commodity,3.2,0,3.3,3.1,Reduce Discount,inelastic
P008,commodity,5.8,0,6.2,2.8,Reduce Discount,inelastic
P029,snack,3.0,0,3.1,2.5,Reduce Discount,elastic
P048,fresh_food,1.4,0,1.5,1.8,Stop Promotion,elastic
P022,beverage,0.0,5,5.5,1.1,Increase Discount,elastic
P017,beverage,0.0,4,4.0,0.7,Increase Discount,elastic
P024,beverage,0.7,0,0.7,0.7,No Promotion Needed,elastic
P001,commodity,0.0,4,2.7,0.5,Increase Discount,elastic
P026,beverage,0.0,3,3.9,0.4,Increase Discount,elastic
P021,beverage,0.8,0,0.8,0.2,No Promotion Needed,elastic
P016,beverage,0.8,0,0.9,0.2,No Promotion Needed,elastic
P003,commodity,0.0,2,1.1,0.1,Keep Current,elastic
P013,beverage,0.0,0,0.0,0.0,No Promotion Needed,elastic
P030,beverage,0.0,0,0.0,0.0,No Promotion Needed,elastic
P023,beverage,0.0,0,0.0,0.0,No Promotion Needed,elastic
P038,snack,0.0,0,0.0,0.0,No Promotion Needed,elastic
P047,fresh_food,0.0,0,0.0,0.0,No Promotion Needed,inelastic
P046,fresh_food,0.0,0,0.0,0.0,No Promotion Needed,inelastic
P043,fresh_food,0.0,0,0.0,0.0,No Promotion Needed,elastic
P064,dry_food,0.0,0,0.0,0.0,No Promotion Needed,elastic
P050,fresh_food,0.0,0,0.0,0.0,No Promotion Needed,inelastic
P058,dry_food,0.0,0,0.0,0.0,No Promotion Needed,elastic
P051,fresh_food,0.0,0,0.0,0.0,No Promotion Needed,inelastic
P054,dry_food,0.0,0,0.0,0.0,No Promotion Needed,inelastic
P072,household,0.0,0,0.0,0.0,No Promotion Needed,inelastic
P071,household,0.0,0,0.0,0.0,No Promotion Needed,inelastic
P067,household,0.0,0,0.0,0.0,No Promotion Needed,inelastic
P074,household,0.0,0,0.0,0.0,No Promotion Needed,inelastic
P076,unknown,0.0,0,0.0,0.0,No Promotion Needed,inelastic
P078,household,0.0,0,0.0,0.0,No Promotion Needed,elastic
P079,household,0.0,0,0.0,0.0,No Promotion Needed,inelastic
P080,household,0.0,0,0.0,0.0,No Promotion Needed,inelastic
